Channel,AuthorID,Author,Date,Content,Attachments,Reactions
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],978297184653041664,Notice#5455,06/10/2022 11:56 PM,Joined the server.,,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],159985870458322944,MEE6#4876,06/10/2022 11:56 PM,"Hey @Notice, welcome to **Ocean Protocol**🤟🏼! 

Here's the best way to start building with Ocean Protocol  🌊🐙  -

(1) **OceanONDA V4 is out **🌊  - https://oceanprotocol.com/ 

(2) **Data NFT form the heart of OceanONDA V4.** 💻  - https://oceanprotocol.com/technology/data-nfts-and-data-tokens

(3) **Developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com> 

4) **Learn in the Academy and contribute building tutorials **🏛  - <https://oceanacademy.io> 

🚨If you need more information,  just ask in the #💭︱general-chat  😀",,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],978382316047056907,Notice#8284,06/10/2022 11:56 PM,Joined the server.,,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],159985870458322944,MEE6#4876,06/10/2022 11:56 PM,"Hey @Notice, welcome to **Ocean Protocol**🤟🏼! 

Here's the best way to start building with Ocean Protocol  🌊🐙  -

(1) **OceanONDA V4 is out **🌊  - https://oceanprotocol.com/ 

(2) **Data NFT form the heart of OceanONDA V4.** 💻  - https://oceanprotocol.com/technology/data-nfts-and-data-tokens

(3) **Developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com> 

4) **Learn in the Academy and contribute building tutorials **🏛  - <https://oceanacademy.io> 

🚨If you need more information,  just ask in the #💭︱general-chat  😀",,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],978425600404488252,Notice#6421,06/10/2022 11:57 PM,Joined the server.,,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],159985870458322944,MEE6#4876,06/10/2022 11:57 PM,"Hey @Notice, welcome to **Ocean Protocol**🤟🏼! 

Here's the best way to start building with Ocean Protocol  🌊🐙  -

(1) **OceanONDA V4 is out **🌊  - https://oceanprotocol.com/ 

(2) **Data NFT form the heart of OceanONDA V4.** 💻  - https://oceanprotocol.com/technology/data-nfts-and-data-tokens

(3) **Developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com> 

4) **Learn in the Academy and contribute building tutorials **🏛  - <https://oceanacademy.io> 

🚨If you need more information,  just ask in the #💭︱general-chat  😀",,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],978419748171825253,Notice#9533,06/11/2022 12:00 AM,Joined the server.,,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],159985870458322944,MEE6#4876,06/11/2022 12:00 AM,"Hey @Notice, welcome to **Ocean Protocol**🤟🏼! 

Here's the best way to start building with Ocean Protocol  🌊🐙  -

(1) **OceanONDA V4 is out **🌊  - https://oceanprotocol.com/ 

(2) **Data NFT form the heart of OceanONDA V4.** 💻  - https://oceanprotocol.com/technology/data-nfts-and-data-tokens

(3) **Developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com> 

4) **Learn in the Academy and contribute building tutorials **🏛  - <https://oceanacademy.io> 

🚨If you need more information,  just ask in the #💭︱general-chat  😀",,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],159985870458322944,MEE6#4876,06/11/2022 12:01 AM,"Hey @Notice, welcome to **Ocean Protocol**🤟🏼! 

Here's the best way to start building with Ocean Protocol  🌊🐙  -

(1) **OceanONDA V4 is out **🌊  - https://oceanprotocol.com/ 

(2) **Data NFT form the heart of OceanONDA V4.** 💻  - https://oceanprotocol.com/technology/data-nfts-and-data-tokens

(3) **Developer documentation including quickstarts**📖  - <https://docs.oceanprotocol.com> 

4) **Learn in the Academy and contribute building tutorials **🏛  - <https://oceanacademy.io> 

🚨If you need more information,  just ask in the #💭︱general-chat  😀",,
Ocean Protocol - GET STARTED - 👋︱welcome [727898674637832274],978410396165738506,Notice#4484,06/11/2022 12:01 AM,Joined the server.,,
